,Geo Point,Geo Shape,gares_id,nom_long,nom,nom_sous,nom_sur,id_ref_lda,nom_lda,id_ref_zdl,nom_zdl,num_mod,mode,fer,train,rer,metro,tramway,navette,val,terfer,tertrain,terrer,termetro,tertram,ternavette,terval,idrefliga,idrefligc,ligne,indice_lig,res_com,exploitant,idf,principal,x,y,picto ligne,nom_iv,lat,lon
738,"48.861214527682314,2.1231910959560354","{""coordinates"": [2.123191095956035, 48.861214527682314], ""type"": ""Point""}",480.0,Louveciennes,Louveciennes,,,64341.0,Louveciennes,473506.0,Louveciennes,0.0,TRAIN,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,A02176,C01740,TRAIN L,L,TRAIN L,SNCF,1.0,0.0,635672.2687999979,6862710.557500001,https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/954a47388dc356e3473289e5f47d0270,Louveciennes,48.861214527682314,2.1231910959560354
755,"48.82723877448862,2.200721257947835","{""coordinates"": [2.200721257947835, 48.82723877448862], ""type"": ""Point""}",801.0,Sèvres-Ville-d'Avray,Sèvres-Ville-d'Avray,,,70686.0,Sèvres - Ville-d'Avray,47767.0,Sèvres - Ville-d'Avray,0.0,TRAIN,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,A02176,C01740,TRAIN L,L,TRAIN L,SNCF,1.0,0.0,641321.8823999986,6858872.4901,https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/954a47388dc356e3473289e5f47d0270,Sèvres-Ville-d'Avray,48.82723877448862,2.200721257947835
794,"48.85425170257195,2.1321324452511017","{""coordinates"": [2.132132445251102, 48.85425170257195], ""type"": ""Point""}",96.0,Bougival,Bougival,,,64301.0,Bougival,47790.0,Bougival,0.0,TRAIN,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,A02176,C01740,TRAIN L,L,TRAIN L,SNCF,1.0,0.0,636319.7216000035,6861929.125,https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/954a47388dc356e3473289e5f47d0270,Bougival,48.85425170257195,2.1321324452511017
802,"48.89218707552876,2.237018056395013","{""coordinates"": [2.237018056395013, 48.89218707552876], ""type"": ""Point""}",394.0,La Défense,La Défense,Grande Arche,,71517.0,La Défense (Grande Arche),470549.0,La Défense,0.0,TRAIN,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,A02176,C01740,TRAIN L,L,TRAIN L,SNCF,1.0,1.0,644056.2663000003,6866067.740600001,https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/954a47388dc356e3473289e5f47d0270,La Défense,48.89218707552876,2.237018056395013
803,"49.0141336840626,2.078306591409993","{""coordinates"": [2.078306591409993, 49.0141336840626], ""type"": ""Point""}",940.0,Neuville Université,Neuville Université,,,66436.0,Neuville Université,47879.0,Neuville Université,0.0,TRAIN,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,A02176,C01740,TRAIN L,L,TRAIN L,SNCF,1.0,0.0,632577.9184999987,6879752.012899999,https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/954a47388dc356e3473289e5f47d0270,Neuville Université,49.0141336840626,2.078306591409993
804,"48.80594060487385,2.1529930703695093","{""coordinates"": [2.152993070369509, 48.80594060487385], ""type"": ""Point""}",566.0,Montreuil,Montreuil,,,63989.0,Montreuil,43167.0,Montreuil,0.0,TRAIN,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,A02176,C01740,TRAIN L,L,TRAIN L,SNCF,1.0,0.0,637792.7016000003,6856540.987199999,https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/954a47388dc356e3473289e5f47d0270,Montreuil,48.80594060487385,2.1529930703695093
805,"48.88822016184388,2.3137324515202717","{""coordinates"": [2.313732451520272, 48.88822016184388], ""type"": ""Point""}",665.0,Pont-Cardinet,Pont-Cardinet,,,71475.0,Pont Cardinet,45493.0,Pont Cardinet,0.0,TRAIN,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,A02176,C01740,TRAIN L,L,TRAIN L,SNCF,1.0,0.0,649677.173299998,6865575.024099998,https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/954a47388dc356e3473289e5f47d0270,Pont-Cardinet,48.88822016184388,2.3137324515202717
943,"49.03646397980497,2.0795349399973735","{""coordinates"": [2.079534939997373, 49.03646397980497], ""type"": ""Point""}",130.0,Cergy-Préfecture,Cergy-Préfecture,,,66696.0,Cergy Préfecture,44559.0,Cergy Préfecture,0.0,TRAIN,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,A02176,C01740,TRAIN L,L,TRAIN L,SNCF,1.0,0.0,632696.7167999968,6882234.202100001,https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/954a47388dc356e3473289e5f47d0270,Cergy-Préfecture,49.03646397980497,2.0795349399973735
950,"48.87150310273834,2.0965482527553423","{""coordinates"": [2.096548252755342, 48.87150310273834], ""type"": ""Point""}",517.0,Marly-le-Roi,Marly-le-Roi,,,64405.0,Marly-le-Roi,43248.0,Marly-le-Roi,0.0,TRAIN,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,A02176,C01740,TRAIN L,L,TRAIN L,SNCF,1.0,0.0,633730.7704000026,6863876.5656,https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/954a47388dc356e3473289e5f47d0270,Marly-le-Roi,48.87150310273834,2.0965482527553423
955,"48.94550297098604,2.1450174376542583","{""coordinates"": [2.145017437654258, 48.94550297098604], ""type"": ""Point""}",502.0,Maisons-Laffitte,Maisons-Laffitte,,,65048.0,Maisons-Laffitte,473109.0,Maisons-Laffitte,0.0,TRAIN,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,A02176,C01740,TRAIN L,L,TRAIN L,SNCF,1.0,0.0,637374.9956,6872065.3017,https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/954a47388dc356e3473289e5f47d0270,Maisons-Laffitte,48.94550297098604,2.1450174376542583
960,"48.90963293220531,2.2396841171276165","{""coordinates"": [2.239684117127617, 48.90963293220531], ""type"": ""Point""}",399.0,La Garenne-Colombes,La Garenne-Colombes,,,72148.0,La Garenne-Colombes,47412.0,La Garenne-Colombes,0.0,TRAIN,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,A02176,C01740,TRAIN L,L,TRAIN L,SNCF,1.0,0.0,644270.4218000025,6868005.735399999,https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/954a47388dc356e3473289e5f47d0270,La Garenne-Colombes,48.90963293220531,2.2396841171276165
978,"48.93773606249396,2.157086496469817","{""coordinates"": [2.157086496469817, 48.93773606249396], ""type"": ""Point""}",786.0,Sartrouville,Sartrouville,,,64918.0,Sartrouville,43191.0,Sartrouville,0.0,TRAIN,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,A02176,C01740,TRAIN L,L,TRAIN L,SNCF,1.0,0.0,638249.7656999975,6871192.137899999,https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/954a47388dc356e3473289e5f47d0270,Sartrouville,48.93773606249396,2.157086496469817
983,"48.84610294772017,2.217621080890434","{""coordinates"": [2.217621080890434, 48.84610294772017], ""type"": ""Point""}",812.0,Saint-Cloud,Saint-Cloud,,,73749.0,Saint-Cloud,43196.0,Saint-Cloud,0.0,TRAIN,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,A02176,C01740,TRAIN L,L,TRAIN L,SNCF,1.0,1.0,642583.3049999997,6860957.525899999,https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/954a47388dc356e3473289e5f47d0270,Saint-Cloud,48.84610294772017,2.217621080890434
1018,"48.87683695304874,2.324738046836634","{""coordinates"": [2.324738046836634, 48.87683695304874], ""type"": ""Point""}",822.0,Saint-Lazare,Saint-Lazare,,,71370.0,Gare Saint-Lazare,58566.0,Gare Saint-Lazare,0.0,TRAIN,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,TRAIN L,0,0,0,0,0,A02176,C01740,TRAIN L,L,TRAIN L,SNCF,1.0,1.0,650473.3505000025,6864302.327,https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/954a47388dc356e3473289e5f47d0270,Saint-Lazare,48.87683695304874,2.324738046836634
1160,"48.89862464805266,2.2491965080151255","{""coordinates"": [2.249196508015125, 48.89862464805266], ""type"": ""Point""}",217.0,Courbevoie,Courbevoie,,,73614.0,Courbevoie,43118.0,Courbevoie,0.0,TRAIN,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,A02176,C01740,TRAIN L,L,TRAIN L,SNCF,1.0,0.0,644956.0,6866775.0,https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/954a47388dc356e3473289e5f47d0270,Courbevoie,48.89862464805266,2.2491965080151255
